,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
4410,Dhubri,4,GEN,Assam,Nurul Islam,Indian National Congress,930942,810647,87.1,132221,16.3,1996
4411,Dhule,14,GEN,Maharashtra,Bagul Sahebrao Sukram,Bharatiya Janta Party,1077969,390563,36.2,29633,7.6,1996
4412,Diamond Harbour,17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),1105494,889735,80.5,22526,2.5,1996
4413,Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,840893,591297,70.3,107355,18.2,1996
4414,Dindigul,23,GEN,Tamil Nadu,Chitthan.N.S.V.,Tamil Maanila Congress (MOOPANAR),1075085,725466,67.5,267914,36.9,1996
4415,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Brij Bhushan Tiwari,Samajwadi Party,1121884,581728,51.9,25923,4.5,1996
4416,Dum Dum,20,SC,West Bengal,Nirmal Kanti Chatterjee,Communist Party Of India (MARXIST),1544506,1252429,81.1,58291,4.7,1996
4417,Dumka,27,ST,Bihar [1947 - 1999],Shibu Soren,Jharkhand Mukti Morcha,949909,528690,55.7,5478,1.0,1996
4418,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Tarachand Sahu,Bharatiya Janta Party,1250065,654596,52.4,25747,3.9,1996
4419,Durgapur,37,SC,West Bengal,Sunil Khan,Communist Party Of India (MARXIST),1139493,917970,80.6,181713,19.8,1996
4420,East Delhi,4,GEN,Delhi [1977 Onwards],"B.L. Sharma ""prem""",Bharatiya Janta Party,2221193,1122631,50.5,152499,13.6,1996
4421,Eluru,11,GEN,Andhra Pradesh,Bolla Buli Ramaiah,Telugu Desam,1118637,795079,71.1,1635,0.2,1996
4422,Erandol,16,GEN,Maharashtra,Annasaheb Patil M.K.,Bharatiya Janta Party,1035322,531894,51.4,46527,8.7,1996
4423,Ernakulam,11,GEN,Kerala,Xavier Arrakkal,Independent,1070063,729915,68.2,30385,4.2,1996
4424,Etah,71,GEN,Uttar Pradesh [1947 - 1999],Mahadeepak Singh,Bharatiya Janta Party,1020377,478551,46.9,45703,9.6,1996
4425,Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Ram Singh Shakya,Samajwadi Party,1123677,518933,46.2,10733,2.1,1996
4426,Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Vinay Katiyar,Bharatiya Janta Party,1188558,573616,48.3,26302,4.6,1996
4427,Faridabad,6,GEN,Haryana,Ram Chander,Bharatiya Janta Party,1394387,844989,60.6,61516,7.3,1996
4428,Faridkot,12,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,1109708,799077,72.0,37858,4.7,1996
4429,Farrukhabad,68,GEN,Uttar Pradesh [1947 - 1999],Swami Sacchidanand Sakshi,Bharatiya Janta Party,1213726,590001,48.6,84978,14.4,1996
4430,Fatehpur,58,GEN,Uttar Pradesh [1947 - 1999],Vishambhar Pratap Nishad,Bahujan Samaj Party,1141848,414013,36.3,23474,5.7,1996
4431,Ferozepur,13,GEN,Punjab,Mohan Singh,Bahujan Samaj Party,1147220,734250,64.0,59912,8.2,1996
4432,Firozabad,72,SC,Uttar Pradesh [1947 - 1999],Prabhudayal Katheria,Bharatiya Janta Party,1131286,463468,41.0,67032,14.5,1996
4433,Gandhinagar,11,GEN,Gujarat,Atal Bihari Vajpayee,Bharatiya Janta Party,1752944,498010,28.4,188872,37.9,1996
4434,Ganganagar,1,SC,Rajasthan,Nihal Chand,Bharatiya Janta Party,1180035,516622,43.8,55634,10.8,1996
4435,Garhwal,2,GEN,Uttar Pradesh [1947 - 1999],Satpal Maharaj,All India Indira Congress (TIWARI),971613,423910,43.6,15020,3.5,1996
4436,Gauhati,7,GEN,Assam,Prabin Chandra Sarmah,Asom Gana Parisad,1170068,872505,74.6,114397,13.1,1996
4437,Gaya,43,SC,Bihar [1947 - 1999],Bhagwati Devi,Janata Dal,1065862,638012,59.9,59623,9.3,1996
4438,Ghatampur,63,SC,Uttar Pradesh [1947 - 1999],Kamal Rani,Bharatiya Janta Party,1087112,449012,41.3,11151,2.5,1996
4439,Ghazipur,50,GEN,Uttar Pradesh [1947 - 1999],Manoj,Bharatiya Janta Party,1271538,636824,50.1,105499,16.6,1996
4440,Ghosi,44,GEN,Uttar Pradesh [1947 - 1999],Kalapnath Rai,Independent,1201951,606943,50.5,14552,2.4,1996
4441,Giridih,46,GEN,Bihar [1947 - 1999],Ravindra Kumar Pandey,Bharatiya Janta Party,1108540,609940,55.0,91663,15.0,1996
4442,Gobichettipalayam,19,SC,Tamil Nadu,Shanmugasundaram V.P,Dravida Munetra Kazhagam,971883,691388,71.1,142968,20.7,1996
4443,Godda,28,GEN,Bihar [1947 - 1999],Jagdambi Prasad Yadav,Bharatiya Janta Party,1083740,631098,58.2,56185,8.9,1996
4444,Godhra,18,GEN,Gujarat,Patel Shantilal Parsotamdas,Indian National Congress,998949,326079,32.6,3228,1.0,1996
4445,Gonda,33,GEN,Uttar Pradesh [1947 - 1999],Ketki Devi Singh,Bharatiya Janta Party,1157038,523192,45.2,67149,12.8,1996
4446,Gopalganj,4,GEN,Bihar [1947 - 1999],Lal Babu Pd. Yadav,Janata Dal,1159352,685446,59.1,119496,17.4,1996
4447,Gorakhpur,38,GEN,Uttar Pradesh [1947 - 1999],Avaidyanath,Bharatiya Janta Party,1224971,569269,46.5,56880,10.0,1996
4448,Gulbarga,2,GEN,Karnataka,Qamarul Islam,Janata Dal,1204474,580679,48.2,15545,2.7,1996
4449,Guna,4,GEN,Madhya Pradesh [1947 - 1999],Rajmata Vijaya Raje Scindia,Bharatiya Janta Party,1201687,560145,46.6,130824,23.4,1996
4450,Guntur,15,GEN,Andhra Pradesh,Rayapati Samba Siva Rao,Indian National Congress,1270532,745023,58.6,68499,9.2,1996
4451,Gurdaspur,1,GEN,Punjab,Sukhbuns Kaur,Indian National Congress,1050121,687387,65.5,74547,10.8,1996
4452,Gwalior,3,GEN,Madhya Pradesh [1947 - 1999],Madhavrao Scindhiya,Madhya Pradesh Vikas Congress,1183071,518240,43.8,223994,43.2,1996
4453,Hajipur,8,SC,Bihar [1947 - 1999],Ram Vilas Paswan,Janata Dal,1058192,759759,71.8,46231,6.1,1996
4454,Hamirpur,60,GEN,Uttar Pradesh [1947 - 1999],Ganga Charan Rajput,Bharatiya Janta Party,1016288,445639,43.9,67980,15.3,1996
4455,Hamirpur,4,SC,Himachal Pradesh,Major General Vikram Singh (RETD),Indian National Congress,867556,499881,57.6,15113,3.0,1996
4456,Hanamkonda,38,GEN,Andhra Pradesh,M. Kamaluddin Ahmed,Indian National Congress,1113889,584307,52.5,75570,12.9,1996
4457,Hapur,79,GEN,Uttar Pradesh [1947 - 1999],Ramesh Chand Tomar,Bharatiya Janta Party,1493707,695482,46.6,94449,13.6,1996
4458,Hardoi,19,SC,Uttar Pradesh [1947 - 1999],Jaiprakash,Bharatiya Janta Party,1083292,408207,37.7,23318,5.7,1996
4459,Hardwar,85,SC,Uttar Pradesh [1947 - 1999],Harpal Sathi,Bharatiya Janta Party,1158091,616554,53.2,66100,10.7,1996
4460,Hassan,19,GEN,Karnataka,Y N Rudreshagowda,Janata Dal,1134805,772298,68.1,80787,10.5,1996
4461,Hathras,75,SC,Uttar Pradesh [1947 - 1999],Kishan Lal Diler,Bharatiya Janta Party,1112622,434103,39.0,111794,25.8,1996
4462,Hazaribagh,48,GEN,Bihar [1947 - 1999],Mahabir Lal Viswakarma,Bharatiya Janta Party,1213041,628922,51.9,71251,11.3,1996
4463,Hindupur,24,GEN,Andhra Pradesh,S.Ramachandra Reddy,Telugu Desam,1171708,714646,61.0,172422,24.1,1996
4464,Hingoli,29,GEN,Maharashtra,Mane Shivaji Gyanbarao,Shiv Sena,1015490,591100,58.2,79067,13.4,1996
4465,Hissar,9,GEN,Haryana,Jai Parkash S/o Harikesh,Haryana Vikas Party,1030467,746249,72.4,174652,23.4,1996
4466,Hooghly,27,GEN,West Bengal,Rupchand Pal,Communist Party Of India (MARXIST),1095875,934941,85.3,38497,4.1,1996
4467,Hoshangabad,29,GEN,Madhya Pradesh [1947 - 1999],Sartaj Singh,Bharatiya Janta Party,1077648,584096,54.2,52527,9.0,1996
4468,Hoshiarpur,6,GEN,Punjab,Kanshi Ram,Bahujan Samaj Party,1036111,593425,57.3,10944,1.8,1996
4469,Howrah,24,GEN,West Bengal,Priya Ranjan Das Munsi,Indian National Congress,1311094,985507,75.2,33931,3.4,1996
4470,Hyderabad,30,GEN,Andhra Pradesh,Sultan Salahuddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1498515,949560,63.4,73273,7.7,1996
4471,Ichalkaranji,47,GEN,Maharashtra,Awade Kallappa Baburao,Indian National Congress,1093847,710691,65.0,28510,4.0,1996
4472,Idukki,14,GEN,Kerala,A.C.Jos,Indian National Congress,1034335,729832,70.6,30140,4.1,1996
4473,Indore,37,GEN,Madhya Pradesh [1947 - 1999],Sau. Sumitra Mahajan,Bharatiya Janta Party,1239628,674473,54.4,104433,15.5,1996
4474,Inner Manipur,1,GEN,Manipur,Th. Chaoba,Indian National Congress,626653,414736,66.2,36588,8.8,1996
4475,Jabalpur,25,GEN,Madhya Pradesh [1947 - 1999],Dada Baburao Paranjape,Bharatiya Janta Party,1217255,536039,44.0,93680,17.5,1996
4476,Jadavpur,18,GEN,West Bengal,Krishna Bose,Indian National Congress,1313111,1075315,81.9,13038,1.2,1996
4477,Jagatsinghpur,7,SC,Orissa,Ranjib Biswal,Indian National Congress,1144183,800715,70.0,47278,5.9,1996
4478,Jahanabad,41,GEN,Bihar [1947 - 1999],Ramashraya Prasad Singh,Communist Party Of India,1093022,795058,72.7,95650,12.0,1996
4479,Jaipur,6,GEN,Rajasthan,Girdhari Lal Bhargava,Bharatiya Janta Party,1656381,639549,38.6,115254,18.0,1996
4480,Jajpur,4,ST,Orissa,Anchal Das,Janata Dal,1076547,642252,59.7,3873,0.6,1996
4481,Jalaun,62,SC,Uttar Pradesh [1947 - 1999],Bhanu Pratap Singh,Bharatiya Janta Party,1134180,468654,41.3,45724,9.8,1996
4482,Jalesar,70,GEN,Uttar Pradesh [1947 - 1999],Om Pal Singh Nigar,Bharatiya Janta Party,1097730,536395,48.9,39375,7.3,1996
4483,Jalgaon,17,GEN,Maharashtra,Gunwantrao Rambhau Sarode,Bharatiya Janta Party,1056966,521257,49.3,84087,16.1,1996
4484,Jalna,32,GEN,Maharashtra,Pawar Uttamsing Rajdharsing,Bharatiya Janta Party,1072289,626742,58.5,118630,18.9,1996
4485,Jalore,22,GEN,Rajasthan,Parsa Ram Meghwal,Indian National Congress,1258268,474688,37.7,5842,1.2,1996
4486,Jalpaiguri,3,SC,West Bengal,Jitendra Nath Das,Communist Party Of India (MARXIST),1065484,919243,86.3,112462,12.2,1996
4487,Jammu,6,GEN,Jammu & Kashmir,Mangat Ram Sharma,Indian National Congress,1206499,581314,48.2,46733,8.0,1996
4488,Jamnagar,3,GEN,Gujarat,Koradia Chandreshbhai Valjibhai(C.PATEL),Bharatiya Janta Party,912427,324518,35.6,21747,6.7,1996
4489,Jamshedpur,50,GEN,Bihar [1947 - 1999],Bhardwaj Nitish Janardan,Bharatiya Janta Party,1138130,673748,59.2,55137,8.2,1996
4490,Jangipur,8,GEN,West Bengal,Md. Idris Ali,Indian National Congress,1047225,887589,84.8,13122,1.5,1996
4491,Janjgir,14,GEN,Madhya Pradesh [1947 - 1999],Manaharan Lal Pandey,Bharatiya Janta Party,1149163,667588,58.1,33732,5.1,1996
4492,Jaunpur,48,GEN,Uttar Pradesh [1947 - 1999],Raj Keshar,Bharatiya Janta Party,1260933,585626,46.4,42645,7.3,1996
4493,Jhabua,39,ST,Madhya Pradesh [1947 - 1999],Dileep Singh Bhuria,Indian National Congress,1059977,502609,47.4,27899,5.6,1996
4494,Jhalawar,15,GEN,Rajasthan,Vasundhara Raje,Bharatiya Janta Party,1054034,480543,45.6,48884,10.2,1996
4495,Jhanjharpur,14,GEN,Bihar [1947 - 1999],Devendra Prasad Yadav,Janata Dal,1057257,671933,63.6,78149,11.6,1996
4496,Jhansi,61,GEN,Uttar Pradesh [1947 - 1999],Rajendra Agnihotri,Bharatiya Janta Party,1278326,687216,53.8,29684,4.3,1996
4497,Jhargram,33,ST,West Bengal,Rupchand Murmu,Communist Party Of India (MARXIST),943958,827962,87.7,347264,41.9,1996
4498,Jhunjhunu,4,GEN,Rajasthan,Shees Ram Ola,All India Indira Congress (TIWARI),1284328,655953,51.1,12799,2.0,1996
4499,Jodhpur,24,GEN,Rajasthan,Ashok Gahlot,Indian National Congress,1391408,602985,43.3,54367,9.0,1996
4500,Jorhat,12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,936286,677369,72.4,47239,7.0,1996
4501,Joynagar,15,GEN,West Bengal,Sanat Kumar Mandal,Revolutionary Socialist Party,1063564,894592,84.1,143927,16.1,1996
4502,Jullundur,4,SC,Punjab,Darbara Singh,Shiromani Akali Dal,1071422,627014,58.5,18555,3.0,1996
4503,Junagadh,6,GEN,Gujarat,Chikhaliya Bhavnaben Devarajbhai,Bharatiya Janta Party,1051940,337702,32.1,108672,32.2,1996
4504,Kaira,19,ST,Gujarat,Dinsha Patel,Indian National Congress,1034342,371499,35.9,49571,13.3,1996
4505,Kairana,83,GEN,Uttar Pradesh [1947 - 1999],Munawwar Hasan,Samajwadi Party,1088513,572869,52.6,10022,1.7,1996
4506,Kaiserganj,30,GEN,Uttar Pradesh [1947 - 1999],Beni Prasad Verma,Samajwadi Party,1095140,521141,47.6,23923,4.6,1996
4507,Kakinada,7,GEN,Andhra Pradesh,Gopalakrishna Thota,Telugu Desam,1164878,745143,64.0,38499,5.2,1996
4508,Kalahandi,14,GEN,Orissa,Bhakta Charan Das,Samata Party,965322,584472,60.6,53033,9.1,1996
4509,Kaliabor,11,GEN,Assam,Keshab Mahanta,Asom Gana Parisad,999960,778723,77.9,1616,0.2,1996
4510,Kanakapura,11,GEN,Karnataka,H D Kumaraswamy,Janata Dal,1724264,1066862,61.9,107404,10.1,1996
4511,Kanara,22,SC,Karnataka,Anant D. Hegde,Bharatiya Janta Party,1068507,662500,62.0,55896,8.4,1996
4512,Kangra,3,GEN,Himachal Pradesh,Sat Mahajan,Indian National Congress,875520,536078,61.2,37524,7.0,1996
4513,Kanker,19,ST,Madhya Pradesh [1947 - 1999],Chhabila Arvind Netam,Indian National Congress,978117,579770,59.3,24420,4.2,1996
4514,Kannauj,67,GEN,Uttar Pradesh [1947 - 1999],Chandra Bhusan Singh Alias Munoo Baboo,Bharatiya Janta Party,1140665,590007,51.7,54880,9.3,1996
4515,Kanpur,65,GEN,Uttar Pradesh [1947 - 1999],Jagatveer Singh Dron,Bharatiya Janta Party,1394642,579199,41.5,151090,26.1,1996
4516,Kapadvanj,16,GEN,Gujarat,Chauhan Jaysinhji Mansingji,Bharatiya Janta Party,1102487,309748,28.1,83937,27.1,1996
4517,Karad,45,GEN,Maharashtra,Chavan Prithviraj Dajisaheb,Indian National Congress,1015322,627156,61.8,149596,23.9,1996
4518,Karimganj,1,SC,Assam,Dwaraka Nath Das,Bharatiya Janta Party,876542,703354,80.2,32749,4.7,1996
4519,Karimnagar,37,GEN,Andhra Pradesh,Lgandula Ramana,Telugu Desam,1243641,700484,56.3,51761,7.4,1996
4520,Karnal,3,SC,Haryana,Ishwar Dayal Swami,Bharatiya Janta Party,1149141,829916,72.2,191865,23.1,1996
4521,Karol Bagh,7,GEN,Delhi [1977 Onwards],Meira Kumar,Indian National Congress,543590,292042,53.7,41890,14.3,1996
4522,Karur,26,GEN,Tamil Nadu,Natrayan.K,Tamil Maanila Congress (MOOPANAR),1072924,763924,71.2,168274,22.0,1996
4523,Kasaragod,1,GEN,Kerala,T. Govindan,Communist Party Of India (MARXIST),1119715,812375,72.6,74730,9.2,1996
4524,Katihar,25,GEN,Bihar [1947 - 1999],Tariq Anwar,Indian National Congress,995649,646733,65.0,88286,13.7,1996
4525,Katwa,40,GEN,West Bengal,Mahaboob Zahedi,Communist Party Of India (MARXIST),1114733,960916,86.2,106202,11.1,1996
4526,Kendrapara,5,ST,Orissa,Srikanta Kumar Jena,Janata Dal,1046128,655988,62.7,39712,6.1,1996
4527,Keonjhar,21,ST,Orissa,Madhaba Sardar,Indian National Congress,1008499,627576,62.2,125910,20.1,1996
4528,Khagaria,31,GEN,Bihar [1947 - 1999],Anil Kumar Yadav,Janata Dal,1033568,683001,66.1,12377,1.8,1996
4529,Khajuraho,6,GEN,Madhya Pradesh [1947 - 1999],Uma Bharti,Bharatiya Janta Party,1286423,673043,52.3,131090,19.5,1996
4530,Khalilabad,36,GEN,Uttar Pradesh [1947 - 1999],Surendra Yadav,Janata Dal,1173445,596019,50.8,43188,7.2,1996
4531,Khammam,40,GEN,Andhra Pradesh,Veerabhadram Tammineni,Communist Party Of India (MARXIST),1232719,895441,72.6,63291,7.1,1996
4532,Khandwa,34,GEN,Madhya Pradesh [1947 - 1999],Nand Kumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1050533,589011,56.1,94350,16.0,1996
4533,Khargone,35,GEN,Madhya Pradesh [1947 - 1999],Rameshwar Pattidhar,Bharatiya Janta Party,1050923,604964,57.6,45207,7.5,1996
4534,Khed,41,SC,Maharashtra,Sherkar Nivruttisheth Namdeo,Indian National Congress,1029058,575342,55.9,18569,3.2,1996
4535,Kheri,15,GEN,Uttar Pradesh [1947 - 1999],Gaindanlal Kanaujiya,Bharatiya Janta Party,1211803,486835,40.2,5444,1.1,1996
4536,Khunti,52,ST,Bihar [1947 - 1999],Kariya Munda,Bharatiya Janta Party,823012,432147,52.5,27672,6.4,1996
4537,Khurja,77,SC,Uttar Pradesh [1947 - 1999],Ashok Kumar Pradhan,Bharatiya Janta Party,1250559,442382,35.4,160803,36.3,1996
4538,Kishanganj,23,GEN,Bihar [1947 - 1999],Taslimuddin,Janata Dal,1130883,694288,61.4,164583,23.7,1996
4539,Kodarma,45,GEN,Bihar [1947 - 1999],Ritlal Prasad Verma,Bharatiya Janta Party,1114679,629464,56.5,46954,7.5,1996
4540,Kokrajhar,5,ST,Assam,Louis Islary,Independent,977897,807919,82.6,31554,3.9,1996
4541,Kolaba,3,GEN,Maharashtra,Antulay Abdul Rahiman A. Gafoor,Indian National Congress,1085702,639816,58.9,4007,0.6,1996
4542,Kolar,10,GEN,Karnataka,K H Muniyappa,Indian National Congress,1045861,714163,68.3,17042,2.4,1996
4543,Kolhapur,48,GEN,Maharashtra,Gaikwad Udaysingrao Nanasaheb,Indian National Congress,1038333,548946,52.9,68325,12.4,1996
4544,Kopargaon,40,GEN,Maharashtra,Badade Bhimrao Vishnuji,Bharatiya Janta Party,924596,520793,56.3,20251,3.9,1996
4545,Koppal,4,SC,Karnataka,Basavaraj Raya Reddy,Janata Dal,1167339,623051,53.4,75841,12.2,1996
4546,Koraput,12,ST,Orissa,Giridhari Gamang,Indian National Congress,1016453,543960,53.5,137653,25.3,1996
4547,Kota,14,GEN,Rajasthan,Dau Dayal Joshi,Bharatiya Janta Party,1166466,526810,45.2,685,0.1,1996
4548,Kottayam,13,GEN,Kerala,Remesh Chennithala,Indian National Congress,968334,701660,72.5,67048,9.6,1996
4549,Krishnagar,11,GEN,West Bengal,Ajoay Mukhopadhyay,Communist Party Of India (MARXIST),1069985,911616,85.2,38910,4.3,1996
4550,Krishnagiri,14,GEN,Tamil Nadu,Narasimhan C,Tamil Maanila Congress (MOOPANAR),1077964,715036,66.3,194676,27.2,1996
4551,Kurnool,26,GEN,Andhra Pradesh,Kotla Vijaya Bhaskara Reddy,Indian National Congress,1149138,712995,62.1,32819,4.6,1996
4552,Kurukshetra,2,GEN,Haryana,Om Parkash Jindal,Haryana Vikas Party,1100534,829029,75.3,51777,6.2,1996
4553,Kutch,1,SC,Gujarat,Gadhvi Pushpadan Shambhudan,Bharatiya Janta Party,826716,316711,38.3,101972,32.2,1996
4554,Ladakh,4,GEN,Jammu & Kashmir,Phuntsog Namgyal,Indian National Congress,131402,106347,80.9,10135,9.5,1996
4555,Lakhimpur,14,GEN,Assam,Arun Kr. Sarma,Asom Gana Parisad,921444,707589,76.8,3440,0.5,1996
4556,Lakshadweep,1,ST,Lakshadweep,P M Sayeed,Indian National Congress,34111,30373,89.0,1034,3.4,1996
4557,Lalganj,46,SC,Uttar Pradesh [1947 - 1999],Bali Ram,Bahujan Samaj Party,1302152,618690,47.5,54190,8.8,1996
4558,Latur,35,GEN,Maharashtra,Shivraj Vishwanath Patil,Indian National Congress,1045017,683273,65.4,79372,11.6,1996
4559,Lohardaga,53,ST,Bihar [1947 - 1999],Lalit Oraon,Bharatiya Janta Party,938725,486746,51.9,40569,8.3,1996
4560,Lucknow,20,GEN,Uttar Pradesh [1947 - 1999],Atal Bihari Vajpayee,Bharatiya Janta Party,1488169,769886,51.7,118671,15.4,1996
4561,Ludhiana,9,SC,Punjab,Amrik Singh Aliwal,Shiromani Akali Dal,1337591,803903,60.1,71250,8.9,1996
4562,Machhlishahr,47,GEN,Uttar Pradesh [1947 - 1999],Ram Vilas Veddanti,Bharatiya Janta Party,1240619,592055,47.7,43130,7.3,1996
4563,Machilipatnam,12,GEN,Andhra Pradesh,Satyanarayana Kaikala,Telugu Desam,1002527,710399,70.9,81507,11.5,1996
4564,Madhepura,21,GEN,Bihar [1947 - 1999],Sharad Yadav,Janata Dal,999278,624787,62.5,237144,38.0,1996
4565,Madhubani,13,GEN,Bihar [1947 - 1999],Chaturanan Mishra,Communist Party Of India,1106232,607552,54.9,53980,8.9,1996
4566,Madras Central,2,GEN,Tamil Nadu,Murasoli Maran,Dravida Munetra Kazhagam,1036649,598008,57.7,280467,46.9,1996
4567,Madras North,1,SC,Tamil Nadu,Somu N.V.N,Dravida Munetra Kazhagam,1553112,867464,55.9,389617,44.9,1996
4568,Madras South,3,GEN,Tamil Nadu,Baalu T.R,Dravida Munetra Kazhagam,1572764,885229,56.3,339181,38.3,1996
4569,Madurai,24,GEN,Tamil Nadu,Ram Babu A.G.S,Tamil Maanila Congress (MOOPANAR),1200197,747383,62.3,189806,25.4,1996
4570,Mahabubnagar,29,GEN,Andhra Pradesh,Mallikarjun,Indian National Congress,1243625,744665,59.9,5498,0.7,1996
4571,Maharajganj,6,GEN,Bihar [1947 - 1999],Ram Bahadur Singh,Samata Party,985888,606896,61.6,152854,25.2,1996
4572,Maharajganj,39,GEN,Uttar Pradesh [1947 - 1999],Pankaj Chaudhary,Bharatiya Janta Party,1090652,616754,56.6,33550,5.4,1996
4573,Mahasamund,18,GEN,Madhya Pradesh [1947 - 1999],Pawan Diwan,Indian National Congress,1018379,625749,61.5,6940,1.1,1996
4574,Mahendragarh,7,GEN,Haryana,Ram Singh,Bharatiya Janta Party,1237989,819455,66.2,48035,5.9,1996
4575,Mainpuri,69,GEN,Uttar Pradesh [1947 - 1999],Mulayam Singh Yadav,Samajwadi Party,1095625,651766,59.5,51958,8.0,1996
4576,Malda,7,GEN,West Bengal,Abul Barkat Ataul G K Choudhury,Indian National Congress,1013006,876253,86.5,89822,10.3,1996
4577,Malegaon,13,GEN,Maharashtra,Raut Kacharu Bhau,Bharatiya Janta Party,1056717,440882,41.7,12881,2.9,1996
4578,Mandi,2,GEN,Himachal Pradesh,Sukh Ram,Indian National Congress,909750,530204,58.3,153223,28.9,1996
4579,Mandla,24,ST,Madhya Pradesh [1947 - 1999],Faggansingh Kulaste,Bharatiya Janta Party,955278,595112,62.3,64620,10.9,1996
4580,Mandsaur,40,GEN,Madhya Pradesh [1947 - 1999],Laxminarian Pandey,Bharatiya Janta Party,1157505,712130,61.5,79848,11.2,1996
4581,Mandvi,25,GEN,Gujarat,Gamit Chhitubhai Devjibhai,Indian National Congress,1043773,501507,48.1,30360,6.1,1996
4582,Mandya,14,GEN,Karnataka,Krishna,Janata Dal,1040251,745896,71.7,33386,4.5,1996
4583,Mangaldoi,8,GEN,Assam,Birendra Prasad Baishya,Asom Gana Parisad,1049353,835009,79.6,99132,11.9,1996
4584,Mangalore,17,GEN,Karnataka,V Dhananjaya Kumar,Bharatiya Janta Party,964856,694171,72.0,14499,2.1,1996
4585,Manjeri,5,GEN,Kerala,E.Ahammed,Muslim Leage,1153025,795721,69.0,54971,6.9,1996
4586,Mathura,74,GEN,Uttar Pradesh [1947 - 1999],Tej Veer Singh,Bharatiya Janta Party,1161051,505120,43.5,64572,12.8,1996
4587,Mathurapur,16,GEN,West Bengal,Radhika Ranjan Pramanik,Communist Party Of India (MARXIST),1015000,875404,86.3,16068,1.8,1996
4588,Mavelikara,16,SC,Kerala,P.J.Kurien,Indian National Congress,880820,633593,71.9,21076,3.3,1996
4589,Mayiladuturai,29,SC,Tamil Nadu,Rajendiran P.V,Tamil Maanila Congress (MOOPANAR),950926,690094,72.6,153544,22.2,1996
4590,Mayurbhanj,1,GEN,Orissa,Sushila Tiriya,Indian National Congress,935029,574112,61.4,111189,19.4,1996
4591,Medak,33,GEN,Andhra Pradesh,M. Baaga Reddy,Indian National Congress,1228169,787529,64.1,27489,3.5,1996
4592,Meerut,80,GEN,Uttar Pradesh [1947 - 1999],Amar Pal Singh,Bharatiya Janta Party,1247506,646183,51.8,168116,26.0,1996
4593,Mehsana,12,GEN,Gujarat,Dr. A.K. Patel,Bharatiya Janta Party,1060992,478683,45.1,125151,26.1,1996
4594,Midnapore,32,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,1051814,889188,84.5,210649,23.7,1996
4595,Miryalguda,42,GEN,Andhra Pradesh,Narsimha Reddy Baddam,Indian National Congress,1267248,846166,66.8,43876,5.2,1996
4596,Mirzapur,54,GEN,Uttar Pradesh [1947 - 1999],Phulan Devi,Samajwadi Party,1315877,716958,54.5,37046,5.2,1996
4597,Misrikh,18,SC,Uttar Pradesh [1947 - 1999],Chaudhary Paragi Lal,Bharatiya Janta Party,1081246,466046,43.1,9215,2.0,1996
4598,Mizoram,1,ST,Mizoram,Silvera C.,Indian National Congress,408094,299593,73.4,14481,4.8,1996
4599,Mohanlalganj,21,SC,Uttar Pradesh [1947 - 1999],Purnima Verma,Bharatiya Janta Party,1114946,473918,42.5,32439,6.8,1996
4600,Monghyr,32,GEN,Bihar [1947 - 1999],Brahmanand Mandal,Samata Party,1132807,742042,65.5,21146,2.8,1996
4601,Moradabad,7,GEN,Uttar Pradesh [1947 - 1999],Shafiqur Rahman Warq,Samajwadi Party,1122457,644081,57.4,1885,0.3,1996
4602,Morena,1,SC,Madhya Pradesh [1947 - 1999],Ashok Argal,Bharatiya Janta Party,1217163,410375,33.7,37979,9.3,1996
4603,Mormugao,2,GEN,Goa,Alemao Churchil Braz,United Goans Democratic Party,481634,273466,56.8,25292,9.2,1996
4604,Motihari,3,GEN,Bihar [1947 - 1999],Radha Mohan Singh,Bharatiya Janta Party,1115608,618512,55.4,127809,20.7,1996
4605,Mukundapuram,10,GEN,Kerala,P. C.Chacko,Indian National Congress,1004427,749439,74.6,24757,3.3,1996
4606,Mumbai North,9,SC,Maharashtra,Ram Naik,Bharatiya Janta Party,2156292,871802,40.4,256260,29.4,1996
4607,Mumbai North Central,6,GEN,Maharashtra,Narayan Gajanan Athawale,Shiv Sena,1118207,512190,45.8,89199,17.4,1996
4608,Mumbai North East,7,SC,Maharashtra,Pramod Mahajan,Bharatiya Janta Party,1930084,926340,48.0,191563,20.7,1996
4609,Mumbai North West,8,GEN,Maharashtra,Madhukar Sirpotdar,Shiv Sena,1517813,714962,47.1,88469,12.4,1996
4610,Mumbai South,4,GEN,Maharashtra,Jayawantiben Mehta,Bharatiya Janta Party,710750,314158,44.2,23208,7.4,1996
4611,Mumbai South Central,5,GEN,Maharashtra,Mohan Vishnu Rawale,Shiv Sena,802038,371168,46.3,58652,15.8,1996
