,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
382,Pupri,68,GEN,Bihar [1947 - 1999],Sashiranjan Prasad Sah,Indian National Congress,415653,234633,56.5,18772,8.0,1962
383,Puri,308,GEN,Orissa,Bibudhendra Misra,Indian National Congress,475128,145148,30.6,29565,20.4,1962
384,Purnea,77,GEN,Bihar [1947 - 1999],Phani Gopal Sen Gupta,Indian National Congress,503100,224636,44.7,69791,31.1,1962
385,Purulia,474,GEN,West Bengal,Bhajahari Mahato,Lok Sewak Sangh,428535,168297,39.3,7413,4.4,1962
386,Qullon,146,GEN,Kerala,Sreekantan Nair,Revolutionary Socialist Party,442109,339363,76.8,64955,19.1,1962
387,Rae Bareli,381,SC,Uttar Pradesh [1947 - 1999],Baijnath Kureel,Indian National Congress,422089,206809,49.0,14268,6.9,1962
388,Raichur,279,GEN,Mysore,Jagannath Rao Venkata Rao Chandriki,Indian National Congress,436535,187076,42.9,15325,8.2,1962
389,Raiganj,449,GEN,West Bengal,Chapala Kanta Bhattacharjee,Indian National Congress,455919,200085,43.9,29403,14.7,1962
390,Raigarh,159,GEN,Madhya Pradesh [1947 - 1999],Raja Vijaya Bhusan Singh Deo,Akhil Bharatiya Ram Rajya Parishad,438535,200279,45.7,9117,4.6,1962
391,Raipur,164,ST,Madhya Pradesh [1947 - 1999],Keshar Kumari Devi,Indian National Congress,458195,254538,55.6,15391,6.0,1962
392,Rajahmundry,7,ST,Andhra Pradesh,Datla Satyanarayana Raju,Indian National Congress,450040,328655,73.0,123374,37.5,1962
393,Rajampet,23,GEN,Andhra Pradesh,C.L. Narasimha Reddy,Swatantra,442554,301705,68.2,17265,5.7,1962
394,Rajapur,237,GEN,Maharashtra,Nath Bapu Pai,Praja Socialist Party,358888,168840,47.1,27943,16.5,1962
395,Rajgarh,177,GEN,Madhya Pradesh [1947 - 1999],Bhanuprakash Singh,Independent,422942,180181,42.6,26086,14.5,1962
396,Rajkot,111,GEN,Gujarat,Uchharangrai Navalshanker Dhebar,Indian National Congress,390228,196430,50.3,41033,20.9,1962
397,Rajmahal,79,SC,Bihar [1947 - 1999],Iswar Marandi,Jharkhand Party,389321,149409,38.4,18676,12.5,1962
398,Rajnandgaon,166,GEN,Madhya Pradesh [1947 - 1999],Birendra Bahadur Singh,Indian National Congress,440331,182114,41.4,23968,13.2,1962
399,Ramanathapuram,219,GEN,Madras,N. Arunachalam,Indian National Congress,517361,363620,70.3,30883,8.5,1962
400,Rampur,367,GEN,Uttar Pradesh [1947 - 1999],Ahmad Mahdi,Indian National Congress,421922,208136,49.3,43695,21.0,1962
401,Ramsanehighat,388,SC,Uttar Pradesh [1947 - 1999],Swami Rama Nand,Indian National Congress,419365,208662,49.8,1926,0.9,1962
402,Ramtek,256,GEN,Maharashtra,Madhaolrao Bhagwantrao Patil,Indian National Congress,451896,322302,71.3,41302,12.8,1962
